	Oke_APOB-60	Oke_ccd16-77	Oke_CO1A1-72	Oke_DBLOH-79	Oke_FANK1-96	Oke_gdh1-62	Oke_hmgb1-66	Oke_HP-182	Oke_hsc71-199	Oke_lactb2-71	Oke_mgll-49	Oke_nc2b-148	Oke_NHERF-123	Oke_NHERF-54	Oke_NUPR1-70	Oke_PDIA3-82	Oke_pnrc2-78	Oke_sylc-90	Oke_TCP1-78	Oke_TCTA-99	Oke_thic-84	Oke_txnrd1-74	Oke_u0602-244	Oke_U1008-83	Oke_U1012-241	Oke_U1012-60	Oke_U1016-154	Oke_U1021-102	Oke_U1027-89	Oke_U2001-629	Oke_U2005-62	Oke_U2020-51	Oke_U2024-93	Oke_U2034-55	Oke_U2037-76	Oke_U2040-77	Oke_U2042-61	Oke_U2045-43	Oke_U2048-91	Oke_U2054-58	Oke_u217-172	Oke_U305-130	Oke_U504-228	Oke_U505-112	Oke_U507-87	Oke_U510-204	Oke_zn593-152	
CMUW10X08H_0175	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	YY	XX	YY	XX	XX	YY	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	No Call	No Call	XX	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	No Call	XX	YY	YY	YY	XX	YY
CMUW10X08H_0177	YY	XX	XX	YY	XX	YY	YY	YY	XX	YY	YY	XX	XX	YY	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	YY	XX	XX	YY	No Call	No Call	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	No Call	XX	YY	YY	XX	XX	YY
CMUW10X08H_0179	YY	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	XX	XX	No Call	No Call	XX	YY	XX	XX	YY	YY	XX	YY	YY	YY	XX	No Call	XX	XX	XX	XX	XX	No Call
CMUW10X08H_0181	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0173	XX	XX	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	XX	XX	No Call	No Call	YY	YY	XX	XX	YY	XX	YY	XX	XX	YY	YY	No Call	XX	XX	XX	XX	YY	YY
CMUW10X08H_0174	YY	XX	XX	YY	YY	XX	XX	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	YY	YY	XX	No Call	No Call	YY	YY	YY	XX	XX	YY	XX	XX	XX	XX	YY	No Call	XX	YY	XX	YY	XX	No Call
CMUW10X08H_0176	XX	XX	XX	XX	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	No Call	No Call	YY	XX	YY	XX	XX	YY	YY	XX	XX	YY	YY	No Call	YY	YY	YY	YY	XX	YY
CMUW10X08H_0178	XX	XX	YY	XX	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	No Call	No Call	XX	XX	YY	XX	YY	XX	YY	YY	XX	XX	XX	No Call	YY	XX	YY	XX	XX	YY
CMUW10X08H_0180	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	No Call	No Call	XX	YY	XX	YY	YY	XX	YY	YY	YY	XX	XX	No Call	YY	YY	YY	XX	YY	YY
CMUW10X08H_0193	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	No Call	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	XX	XX	No Call	No Call	XX	YY	XX	YY	YY	YY	XX	YY	XX	YY	YY	No Call	YY	YY	XX	YY	YY	YX
CMUW10X08H_0195	YY	YY	YY	XX	XX	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	No Call	No Call	XX	YY	XX	XX	YY	YY	XX	YY	YY	XX	YY	No Call	YY	YY	XX	XX	XX	No Call
CMUW10X08H_0197	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	No Call	No Call	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	XX	No Call	YY	XX	YY	YY	YY	YY
CMUW10X08H_0199	YY	YY	XX	YY	XX	YY	YY	XX	XX	XX	YY	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	No Call	No Call	YY	YY	YY	XX	YY	YY	XX	XX	YY	YY	XX	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0201	YY	YY	YY	XX	YY	XX	YY	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	YY	XX	YY	YY	XX	XX	YY	YY	XX	XX	XX	No Call	No Call	XX	XX	YY	XX	YY	YY	XX	YY	YY	YY	XX	No Call	XX	XX	YY	YY	XX	YY
CMUW10X08H_0203	YY	YY	XX	XX	YY	YY	XX	XX	XX	XX	XX	XX	XX	YY	YY	XX	XX	YY	No Call	YY	XX	YY	XX	YY	YY	XX	YY	XX	No Call	No Call	XX	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0194	XX	YY	XX	YY	XX	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	YY	YY	XX	No Call	No Call	YY	YY	XX	XX	YY	YY	YY	XX	YY	XX	YY	No Call	XX	XX	XX	XX	YY	YY
CMUW10X08H_0196	XX	YY	YY	XX	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	XX	No Call	No Call	XX	XX	XX	YY	YY	YY	YY	YY	YY	YY	XX	No Call	XX	XX	XX	YY	XX	YX
CMUW10X08H_0198	XX	XX	YY	XX	YY	XX	XX	XX	XX	XX	YY	YY	XX	YY	YY	XX	XX	YY	YY	YY	XX	XX	XX	XX	YY	XX	XX	XX	No Call	No Call	XX	YY	YY	YY	XX	YY	YY	YY	XX	YY	YY	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0200	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	XX	XX	YY	XX	XX	XX	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	No Call	No Call	XX	XX	XX	XX	XX	XX	YY	YY	YY	XX	YY	No Call	YY	YY	XX	XX	XX	No Call
CMUW10X08H_0202	YY	XX	YY	YY	XX	XX	YY	XX	XX	YY	XX	XX	XX	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	YY	YY	XX	No Call	No Call	XX	XX	XX	XX	YY	XX	XX	YY	XX	XX	YY	No Call	XX	XX	YY	YY	YY	YY
CMUW10X08H_0204	XX	XX	XX	YY	YY	XX	YY	YY	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	YY	XX	XX	YY	XX	XX	No Call	No Call	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0205	XX	XX	XX	XX	XX	XX	XX	XX	YY	YY	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	XX	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	No Call	XX	XX	YY	XX	YY	YX
CMUW10X08H_0207	YY	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	YY	XX	XX	YY	YY	YY	No Call	No Call	YY	YY	XX	XX	XX	XX	XX	XX	YY	XX	YY	No Call	YY	XX	YY	XX	XX	No Call
CMUW10X08H_0210	XX	XX	YY	XX	XX	XX	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	YY	No Call	No Call	XX	XX	XX	YY	YY	YY	YY	YY	XX	YY	YY	No Call	XX	XX	YY	YY	YY	YY
CMUW10X08H_0212	YY	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	YY	YY	XX	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	XX	YY	No Call	No Call	XX	YY	YY	XX	XX	XX	XX	YY	YY	YY	YY	No Call	XX	YY	YY	YY	YY	YY
CMUW10X08H_0214	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	YY	No Call	No Call	XX	XX	YY	XX	XX	XX	XX	YY	XX	XX	YY	No Call	XX	YY	YY	XX	YY	YY
CMUW10X08H_0216	YY	YY	XX	XX	XX	XX	XX	XX	YY	XX	XX	YY	XX	YY	XX	XX	XX	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	No Call	No Call	XX	YY	XX	YY	YY	XX	XX	YY	YY	YY	YY	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0206	YY	XX	YY	XX	YY	XX	XX	YY	YY	XX	XX	XX	XX	YY	XX	XX	XX	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	XX	YY	YY	XX	XX	XX	YY	YY	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0208	XX	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	XX	XX	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	No Call	XX	YY	YY	YY	YY	YY
CMUW10X08H_0211	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	YY	YY	YY	XX	YY	XX	No Call	No Call	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0213	YY	YY	XX	YY	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	YY	XX	YY	XX	XX	YY	No Call	No Call	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0215	YY	YY	YY	XX	XX	XX	XX	XX	XX	XX	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	XX	XX	XX	YY	XX	XX	YY	No Call	No Call	YY	YY	XX	YY	YY	YY	XX	XX	YY	YY	XX	No Call	YY	YY	YY	XX	XX	YX
CMUW10X08H_0217	YY	XX	YY	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	YY	YY	YY	XX	YY	YY	XX	YY	XX	No Call	No Call	YY	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	No Call	XX	XX	XX	XX	XX	YX
CMUW10X08H_0218	XX	YY	YY	XX	YY	YY	XX	XX	YY	XX	XX	XX	XX	YY	XX	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	YY	YY	XX	No Call	No Call	YY	XX	YY	XX	YY	XX	YY	XX	YY	XX	XX	No Call	YY	XX	XX	XX	YY	No Call
CMUW10X08H_0220	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	XX	YY	YY	XX	YY	YY	XX	XX	XX	YY	XX	XX	YY	XX	YY	XX	XX	XX	No Call	No Call	YY	YY	YY	XX	YY	YY	XX	XX	XX	YY	XX	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0222	XX	XX	XX	XX	YY	YY	XX	YY	XX	YY	XX	XX	XX	YY	YY	YY	XX	YY	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	No Call	No Call	YY	XX	XX	XX	XX	YY	YY	XX	XX	YY	XX	No Call	YY	YY	YY	XX	XX	YX
CMUW10X08H_0224	YY	YY	XX	YY	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	YY	YY	XX	No Call	No Call	XX	XX	YY	XX	YY	YY	YY	YY	YY	XX	XX	No Call	XX	XX	XX	XX	XX	No Call
CMUW10X08H_0226	YY	XX	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	No Call	No Call	XX	XX	XX	XX	YY	XX	XX	XX	XX	YY	XX	No Call	XX	YY	YY	XX	XX	YY
CMUW10X08H_0228	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	YY	XX	XX	YY	XX	YY	YY	XX	No Call	No Call	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	XX	No Call	XX	XX	XX	XX	YY	YY
CMUW10X08H_0219	YY	YY	YY	YY	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	YY	YY	YY	YY	YY	XX	XX	XX	No Call	No Call	XX	YY	XX	XX	XX	YY	XX	YY	YY	YY	XX	No Call	XX	XX	YY	YY	YY	YY
CMUW10X08H_0221	XX	YY	YY	YY	XX	XX	YY	YY	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	XX	YY	YY	YY	YY	XX	YY	YY	XX	No Call	XX	XX	YY	YY	XX	No Call
CMUW10X08H_0223	XX	YY	YY	XX	XX	XX	XX	YY	YY	YY	XX	YY	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	No Call	No Call	XX	YY	XX	YY	YY	XX	YY	YY	YY	YY	XX	No Call	XX	YY	YY	XX	XX	YX
CMUW10X08H_0225	YY	XX	XX	XX	YY	YX	XX	YY	XX	YY	XX	XX	YY	XX	YY	XX	YY	No Call	XX	YY	XX	YY	XX	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	YY	YY	YY	XX	XX	XX	XX	YY	XX	No Call	XX	XX	XX	XX	XX	YX
CMUW10X08H_0227	YY	XX	XX	YY	YY	XX	XX	XX	YY	YY	XX	YY	XX	YY	XX	XX	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	No Call	No Call	YY	XX	XX	XX	YY	XX	XX	XX	XX	XX	YY	No Call	XX	XX	YY	XX	XX	YX
CMUW10X08H_0229	XX	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	YY	YY	XX	XX	YY	XX	XX	XX	YY	YY	XX	XX	YY	No Call	No Call	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	No Call	YY	XX	YY	XX	YY	YY
CMUW10X08H_0230	XX	YY	XX	YY	YY	XX	XX	XX	XX	XX	YY	YY	YY	XX	YY	YY	YY	XX	XX	YY	XX	XX	YY	XX	YY	XX	XX	XX	No Call	No Call	XX	XX	XX	XX	YY	YY	YY	XX	YY	YY	XX	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0232	XX	XX	XX	YY	XX	XX	YY	YY	XX	XX	XX	YY	XX	YY	XX	No Call	XX	YY	XX	YY	YY	XX	YY	YY	YY	XX	XX	YY	No Call	No Call	YY	XX	YY	XX	YY	XX	YY	XX	XX	YY	YY	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0234	YY	XX	YY	YY	XX	XX	YY	YY	XX	YY	YY	YY	YY	XX	YY	No Call	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	No Call	No Call	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	YY	No Call	YY	XX	YY	YY	YY	YY
CMUW10X08H_0236	YY	YY	XX	XX	XX	XX	XX	XX	XX	XX	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	XX	YY	XX	XX	YY	XX	YY	XX	No Call	No Call	YY	YY	XX	YY	XX	YY	XX	XX	YY	XX	XX	No Call	YY	YY	YY	XX	YY	No Call
CMUW10X08H_0238	YY	XX	XX	XX	XX	XX	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	XX	No Call	No Call	YY	XX	YY	YY	YY	XX	XX	XX	XX	YY	YY	No Call	XX	XX	XX	YY	XX	YX
CMUW10X08H_0240	XX	XX	YY	YY	YY	YY	YY	YY	XX	XX	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	YY	No Call	No Call	XX	XX	YY	XX	XX	YY	YY	YY	XX	XX	YY	No Call	YY	YY	YY	YY	XX	YX
CMUW10X08H_0231	XX	YY	YY	YY	YY	YY	YY	XX	XX	XX	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	No Call	No Call	YY	YY	XX	XX	XX	YY	YY	XX	YY	XX	XX	No Call	XX	XX	XX	YY	XX	YX
CMUW10X08H_0233	YY	YY	XX	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	No Call	No Call	YY	YY	YY	YY	XX	XX	XX	XX	YY	XX	YY	No Call	YY	YY	YY	XX	YY	YX
CMUW10X08H_0235	YY	XX	YY	YY	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	No Call	YY	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	No Call	No Call	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	No Call	YY	YY	YY	XX	XX	YX
CMUW10X08H_0237	XX	YY	YY	XX	YY	YY	XX	YY	YY	XX	XX	YY	XX	YY	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	YY	XX	XX	No Call	No Call	XX	XX	XX	XX	XX	YY	YY	YY	YY	YY	XX	No Call	YY	XX	YY	YY	XX	No Call
CMUW10X08H_0239	XX	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	XX	XX	YY	YY	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	YY	XX	YY	XX	YY	YY	YY	XX	XX	XX	XX	No Call	XX	XX	YY	XX	XX	YX
CMUW10X08H_0241	XX	XX	XX	YY	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	XX	YY	YY	YY	XX	XX	YY	YY	XX	YY	YY	No Call	XX	XX	XX	YY	XX	No Call
CMUW10X08H_0242	XX	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	No Call	No Call	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	XX	No Call	YY	XX	XX	YY	YY	YY
CMUW10X08H_0245	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	XX	XX	XX	XX	YY	YY	XX	No Call	No Call	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	No Call	YY	XX	XX	XX	XX	XX
CMUW10X08H_0247	XX	YY	YY	XX	YY	XX	YY	XX	XX	XX	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	No Call	No Call	XX	YY	XX	XX	XX	YY	YY	YY	YY	YY	YY	No Call	YY	YY	YY	YY	XX	XX
CMUW10X08H_0251	XX	XX	XX	XX	XX	XX	YY	XX	YY	XX	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	XX	No Call	No Call	YY	XX	XX	YY	YY	YY	YY	XX	XX	XX	XX	No Call	YY	YY	XX	XX	XX	XX
CMUW10X08H_0253	XX	XX	YY	YY	XX	XX	YY	YY	XX	XX	XX	XX	YY	XX	XX	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	XX	No Call	No Call	XX	YY	YY	YY	XX	XX	YY	YY	XX	YY	YY	No Call	YY	XX	XX	XX	XX	XX
CMUW10X08H_0255	YY	YY	XX	YY	YY	YY	YY	YY	XX	XX	XX	YY	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	XX	XX	YY	YY	YY	XX	XX	YY	YY	YY	YY	No Call	YY	YY	YY	YY	YY	YX
CMUW10X08H_0244	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	XX	XX	YY	XX	YY	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	XX	No Call	No Call	XX	YY	XX	YY	YY	YY	YY	YY	YY	XX	XX	No Call	XX	YY	XX	XX	XX	YX
CMUW10X08H_0246	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	XX	XX	YY	YY	YY	YY	XX	YY	YY	XX	XX	YY	YY	XX	No Call	No Call	YY	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	No Call	XX	XX	XX	XX	YY	YY
CMUW10X08H_0250	YY	YY	YY	YY	YY	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	YY	XX	No Call	No Call	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0252	YY	YY	YY	YY	YY	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	XX	XX	XX	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	XX	YY	YY	XX	XX	YY	YY	XX	No Call	YY	YY	YY	YY	XX	YX
CMUW10X08H_0254	YY	XX	XX	XX	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	XX	XX	XX	YY	XX	XX	No Call	No Call	XX	YY	XX	YY	YY	YY	XX	YY	XX	YY	YY	No Call	XX	XX	YY	YY	YY	YY
CMUW10X08H_0256	YY	XX	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	XX	YY	YY	YY	YY	YY	YY	XX	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	XX	XX	XX	XX	XX	XX	XX	YY	YY	No Call	XX	XX	YY	YY	XX	YX
CMUW10X08H_0257	XX	YY	YY	XX	XX	YY	YY	XX	XX	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	XX	XX	No Call	No Call	YY	YY	XX	YY	YY	YY	YY	XX	YY	YY	YY	No Call	XX	XX	XX	YY	XX	YX
CMUW10X08H_0259	XX	XX	YY	XX	XX	XX	YY	YY	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	YY	YY	No Call	No Call	YY	XX	YY	YY	YY	YY	YY	XX	XX	XX	YY	No Call	XX	XX	YY	XX	XX	YX
CMUW10X08H_0261	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	YY	YY	YY	YY	YY	XX	XX	YY	XX	YY	No Call	No Call	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	No Call	XX	YY	YY	YY	XX	YX
CMUW10X08H_0263	XX	YY	XX	XX	XX	YY	XX	XX	XX	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	YY	XX	XX	XX	XX	XX	YY	XX	YY	No Call	No Call	XX	YY	YY	XX	XX	XX	YY	YY	YY	YY	XX	No Call	XX	YY	YY	YY	XX	YX
CMUW10X08H_0266	YY	XX	YY	YY	XX	YY	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	YY	No Call	XX	XX	YY	YY	XX	YX
CMUW10X08H_0268	YY	XX	XX	YY	XX	YY	YY	YY	XX	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	YY	XX	XX	YY	YY	XX	YY	XX	YY	No Call	No Call	YY	YY	YY	XX	XX	YY	XX	XX	XX	YY	YY	No Call	YY	XX	XX	YY	YY	YY
CMUW10X08H_0258	XX	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	YY	YY	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	XX	XX	XX	XX	YY	YY	YY	YY	XX	YY	XX	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0260	XX	XX	YY	XX	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	No Call	No Call	YY	YY	YY	YY	YY	YY	YY	XX	XX	XX	XX	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0262	YY	XX	YY	YY	YY	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	YY	YY	YY	XX	YY	YY	YY	XX	YY	XX	No Call	No Call	YY	YY	YY	XX	XX	YY	XX	XX	XX	XX	YY	No Call	XX	YY	XX	XX	XX	No Call
CMUW10X08H_0265	YY	YY	XX	XX	YY	YY	XX	XX	YY	YY	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	XX	XX	No Call	No Call	YY	YY	YY	YY	YY	XX	XX	XX	YY	YY	XX	No Call	XX	XX	YY	YY	XX	No Call
CMUW10X08H_0267	YY	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	XX	YY	XX	XX	YY	YY	YY	XX	YY	YY	XX	YY	YY	YY	XX	XX	YY	No Call	No Call	YY	XX	XX	XX	YY	YY	XX	XX	XX	YY	XX	No Call	XX	XX	YY	YY	YY	No Call
CMUW10X08H_0269	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	YY	No Call	No Call	YY	YY	YY	XX	YY	XX	YY	XX	YY	YY	XX	No Call	XX	YY	XX	XX	YY	YY
CMUW10X08H_0270	YY	XX	XX	XX	XX	XX	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	XX	XX	YY	XX	XX	YY	No Call	No Call	YY	XX	YY	YY	YY	XX	XX	XX	XX	YY	XX	No Call	XX	YY	YY	XX	XX	No Call
CMUW10X08H_0272	XX	YY	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	XX	YY	YY	XX	YY	YY	No Call	No Call	YY	YY	XX	XX	XX	YY	YY	XX	YY	XX	XX	No Call	XX	YY	YY	XX	XX	YX
CMUW10X08H_0275	YY	XX	XX	XX	YY	XX	XX	XX	XX	YY	YY	YY	YY	XX	XX	No Call	XX	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	XX	No Call	No Call	XX	YY	YY	YY	YY	YY	XX	YY	XX	YY	XX	No Call	XX	YY	YY	YY	XX	YX
